Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
6316 Patton St,6316 Patton St,Accessory STR,3,6,12/10/2019 11:59:59 PM,"(29.921962888476, -90.1267919022242)",3663033.93152,519125.64044
3009 Dryades St,3009 Dryades St,Accessory STR,2,4,12/11/2019 11:59:59 PM,"(29.9322014938195, -90.0903642153077)",3674532.43169,522972.10412
3011 St Philip St,3011 St Philip St,Accessory STR,2,4,10/22/2019 11:59:59 PM,"(29.975522031501, -90.0842208236238)",3676306.49057,538746.22932
515 David St,515 David St,Commercial STR,3,6,06/12/2019 01:27:13 AM,"(29.9787569902761, -90.0983561582144)",3671818.69243,539874.07815
1836 N Rocheblave St,1836 N Rocheblave St,Accessory STR,2,4,05/06/2019 05:00:00 PM,"(29.980949764069, -90.0690511728525)",3681087.28104,540772.63156
2918 Gravier St,2918 Gravier St,Commercial STR,3,6,12/11/2019 11:59:59 PM,"(29.9619409270227, -90.094905359529)",3672977.24,533770.9
4331 Tchoupitoulas St,4331 Tchoupitoulas St,Commercial STR,4,8,12/06/2019 11:59:59 PM,"(29.9172888955766, -90.1006428881095)",3671335.22,517514.17
915 N Prieur St,915 N Prieur St,Accessory STR,1,2,07/09/2019 08:50:38 AM,"(29.967731915186, -90.0745380084248)",3679403.09941,535946.99489
1126 St Charles Ave 1126 St. Charles,1126 St Charles Ave 1126 St. Charles,Commercial STR,3,6,05/09/2019 09:31:48 AM,"(29.941552197338, -90.0733835588231)",3679873.29531,526431.09779
3502 Tulane Ave Apt 2,3502 Tulane Ave Apt 2,Commercial STR,3,6,04/05/2019 11:59:59 PM,"(29.9657266819283, -90.0999054731292)",3671379.21397,535130.46904
925 Common St Unit 815,925 Common St Unit 815,Commercial STR,1,2,05/16/2019 11:59:59 PM,"(29.9539327484892, -90.0724796594163)",3680110.01954,530936.26861
3003 Ponce De Leon St,3003 Ponce De Leon St,Accessory STR,1,2,09/18/2019 04:54:59 PM,"(29.9804649712662, -90.081690028799)",3677088.08264,540552.41576
703 Carondelet St unit 110,703 Carondelet St unit 110,Commercial STR,1,2,06/26/2019 04:58:15 PM,"(29.9475124089443, -90.0729527320554)",3679985.89736,528599.9488
2916 Gravier St,2916 Gravier St,Commercial STR,3,6,12/11/2019 11:59:59 PM,"(29.9619409270227, -90.094905359529)",3672977.24,533770.9
923 Louisa St,923 Louisa St,Accessory STR,2,4,12/11/2019 11:59:59 PM,"(29.965510766071, -90.0428697575671)",3689438.83,535250.84
925 Common St Apt 1217,925 Common St Apt 1217,Commercial STR,1,2,04/15/2019 11:28:59 AM,"(29.9538143719991, -90.0729985743262)",3679946.17397,530891.41479
1911 Touro St,1911 Touro St,Accessory STR,2,4,06/18/2019 11:59:59 PM,"(29.9768176077493, -90.0596489338757)",3684080.4781,539302.98721
1610 Frenchmen St D,1610 Frenchmen St D,Commercial STR,3,6,09/06/2019 11:59:59 PM,"(29.9737854896522, -90.0586900053972)",3684396.32668,538203.77102
5168 St Roch Avenue,5168 St Roch Avenue,Temporary STR,3,6,07/22/2019 02:59:18 PM,"(30.0114771023008, -90.0560635527739)",3685075.06722,551919.14799
621 Celeste St Apt C,621 Celeste St Apt C,Commercial STR,,,04/23/2019 01:08:02 PM,"(29.9283840272453, -90.0683032991479)",3681535.06933,521660.40582
712 Harmony St,712 Harmony St,Accessory STR,3,6,10/02/2019 09:32:55 AM,"(29.9205193396352, -90.0845846965168)",3676409.26478,518743.95519
1625 Governor Nicholls St,1625 Governor Nicholls St,Commercial STR,1,2,02/20/2019 11:59:59 PM,"(29.9680196614233, -90.069170575904)",3681101.35529,536070.33938
2022 Delachaise St,2022 Delachaise St,Temporary STR,1,2,07/23/2019 02:37:07 PM,"(29.931977121619, -90.094713266351)",3673155.84526,522875.59801
3106 Annunciation St,3106 Annunciation St,Accessory STR,2,4,06/07/2019 11:59:59 PM,"(29.921785629654, -90.0837210017386)",3676677.83163,519207.40614
2501 Carondelet St,2501 Carondelet St,Temporary STR,3,6,05/17/2019 11:59:59 PM,"(29.933259137567, -90.0843225375211)",3676441.81,523377.51
206 David St,206 David St,Accessory STR,2,4,12/12/2019 11:59:59 PM,"(29.9760574843804, -90.1002299034765)",3671236.06439,538886.04372
4214 St Anthony Ave,4214 St Anthony Ave,Accessory STR,2,4,12/12/2019 11:59:59 PM,"(30.0010385362678, -90.0644429964123)",3682465.21,548093.81
1000 Louisa St,1000 Louisa St,Accessory STR,1,2,12/12/2019 11:59:59 PM,"(29.9661094868756, -90.0429122050789)",3689422.93833,535468.40538
917 Whitney Ave,917 Whitney Ave,Accessory STR,2,4,12/12/2019 11:59:59 PM,"(29.9457785637245, -90.0411033174827)",3690079.04304,528081.80557
3404 Livingston St,3404 Livingston St,Accessory STR,,,08/07/2019 11:59:59 PM,"(29.9726528563496, -90.1243890397328)",3663600.58803,537566.48186
1618 Frenchmen St,1618 Frenchmen St,Commercial STR,,,12/13/2019 11:59:59 PM,"(29.9739347628309, -90.0588866062348)",3684333.48,538257.36
1024 Sixth St Apt 204,1024 Sixth St Apt 204,Commercial STR,1,2,10/16/2019 03:17:16 PM,"(29.9249182025075, -90.0838241012222)",3676632.75195,520346.16582
941 Pleasant St,941 Pleasant St,Accessory STR,2,4,04/02/2019 12:19:19 PM,"(29.9226901120111, -90.0865821401348)",3675767.95496,519526.43596
4402 St Roch Ave,4402 St Roch Ave,Accessory STR,3,6,12/13/2019 11:59:59 PM,"(30.002882956412, -90.0553465725426)",3685336.83,548796.51
925 Common St Unit 1514,925 Common St Unit 1514,Commercial STR,1,2,05/07/2019 05:20:23 PM,"(29.9538143719991, -90.0729985743262)",3679946.17397,530891.41479
2312 Franklin Avenue,2312 Franklin Avenue,Temporary STR,2,4,02/21/2019 10:11:45 PM,"(29.981544703921, -90.0489836641791)",3687437.6831,541059.62536
1738 Clio St Apt C,1738 Clio St Apt C,Commercial STR,2,4,04/12/2019 11:59:59 PM,"(29.9423933021391, -90.0760661642838)",3679020.36277,526727.6223
1119 Mazant St.,1119 Mazant St.,Accessory STR,2,4,08/30/2019 10:43:14 AM,"(29.9659778948969, -90.0341073738438)",3692211.25987,535452.05633
1340 Arts St,1340 Arts St,Temporary STR,3,6,02/20/2019 11:59:59 PM,"(29.9718924802101, -90.0502104590842)",3687088.62025,537545.36545
1523 N Broad St,1523 N Broad St,Commercial STR,3,6,06/20/2019 11:59:59 PM,"(29.9782927746259, -90.0765634222769)",3678719.70139,539780.28609
2114 Jackson Ave,2114 Jackson Ave,Commercial STR,4,8,12/13/2019 11:59:59 PM,"(29.9393459000165, -90.0852727052421)",3676116.76,525587.6
1113 Lyons Street,1113 Lyons Street,Accessory STR,2,4,08/06/2019 03:18:58 PM,"(29.922768155202, -90.1073063013947)",3669203.09065,519483.98225
925 Common St 1216,925 Common St 1216,Commercial STR,1,2,02/20/2019 05:11:13 PM,"(29.9539135991276, -90.0722967663392)",3680168.0109,530929.94252
2925 Constance St,2925 Constance St,Temporary STR,5,10,04/04/2019 11:59:59 PM,"(29.9243479298664, -90.0838799386209)",3676617.32661,520138.60134
2003 Almonaster Avenue,2003 Almonaster Avenue,Commercial STR,3,6,03/28/2019 10:48:04 AM,"(29.9782857344035, -90.0471756452154)",3688023.35075,539880.96225
804 N Broad St A,804 N Broad St A,Commercial STR,1,2,07/09/2019 11:59:59 PM,"(29.971346688057, -90.0820142114459)",3677021.66435,537235.53692
2520 Touro St,2520 Touro St,Accessory STR,2,4,08/14/2019 10:37:17 AM,"(29.9831345727953, -90.0605362581467)",3683774.0477,541596.95342
2317 N Rampart St Unit G,2317 N Rampart St Unit G,Commercial STR,3,6,03/08/2019 07:10:46 PM,"(29.9678950204317, -90.0549489618939)",3685604.62172,536074.97204
222 N Anthony st,222 N Anthony st,Accessory STR,1,2,04/15/2019 03:05:30 PM,"(29.9813091210866, -90.1073834940112)",3668950.8795,540771.4443
5518 Wilton Dr,5518 Wilton Dr,Accessory STR,2,4,05/16/2019 03:02:29 PM,"(30.0155702421344, -90.0664437155897)",3681773.53839,553371.10703
812 Gravier St Apt 514,812 Gravier St Apt 514,Commercial STR,1,2,06/07/2019 11:59:59 PM,"(29.9518659720661, -90.071514642504)",3680423.87701,530188.07635
2507 Prytania St,2507 Prytania St,Accessory STR,3,6,06/03/2019 01:11:55 PM,"(29.9311804572759, -90.0829001190834)",3676900.5741,522626.54009
412 Octavia St,412 Octavia St,Temporary STR,2,4,06/06/2019 11:59:59 PM,"(29.9178684772091, -90.117031416316)",3666141.48545,517669.44863
1724 Peniston St,1724 Peniston St,Accessory STR,2,4,04/15/2019 08:14:25 PM,"(29.9288968418285, -90.0962400381647)",3672684.36494,521750.27142
4431 Canal St Suite A,4431 Canal St Suite A,Commercial STR,5,10,04/29/2019 03:39:59 PM,"(29.9775623752946, -90.1043797431658)",3669916.39895,539419.16639
292 Ivy Street #Suite F,292 Ivy Street #Suite F,Commercial STR,1,2,12/14/2019 11:59:59 PM,"(29.9284248918249, -90.0682717296168)",3681544.9046,521675.37603
2619 Soniat St,2619 Soniat St,Accessory STR,,,09/27/2019 10:36:51 AM,"(29.9383031365287, -90.1090318296346)",3668596.15521,525127.23308
713 Touro St,713 Touro St,Accessory STR,1,2,07/17/2019 11:59:59 PM,"(29.9648352131706, -90.058751661459)",3684413.01,534948.9
516 Milan St,516 Milan St,Accessory STR,1,2,10/24/2019 11:59:59 PM,"(29.9177516246396, -90.0989029155433)",3671884.58887,517688.36876
4409 Jeanne Marie Pl,4409 Jeanne Marie Pl,Accessory STR,2,4,12/15/2019 11:59:59 PM,"(30.0026561987563, -90.0766100824328)",3678607.76142,548639.61512
1856 N Gayoso St,1856 N Gayoso St,Accessory STR,3,6,12/03/2019 11:59:59 PM,"(29.9853840148342, -90.0739131197017)",3679530.39618,542368.14593
200 Audubon St,200 Audubon St,Accessory STR,1,2,08/05/2019 09:23:07 AM,"(29.9277258204314, -90.1333635781614)",3660930.32762,521199.39967
7736 Nelson St,7736 Nelson St,Accessory STR,2,4,12/16/2019 11:59:59 PM,"(29.9545868027547, -90.1171655251235)",3665957.28685,531021.16199
1739 Elysian Fields Ave,1739 Elysian Fields Ave,Commercial STR,2,4,05/07/2019 11:59:59 PM,"(29.9755438225453, -90.0570298478406)",3684914.80309,538849.01735
4104 Paris Ave,4104 Paris Ave,Temporary STR,2,4,06/20/2019 11:59:59 PM,"(29.9992394910861, -90.0740376541615)",3679435.60098,547406.10421
2425 Magnolia St Apt B,2425 Magnolia St Apt B,Temporary STR,2,4,05/07/2019 11:59:59 PM,"(29.941757917881, -90.0901667564117)",3674557.27023,526447.84934
1527 Dumaine St,1527 Dumaine St,Temporary STR,2,4,04/15/2019 08:50:26 AM,"(29.9649047675841, -90.0708095610307)",3680594.90978,534931.9257
2441 Mercedes Blvd,2441 Mercedes Blvd,Temporary STR,5,10,12/16/2019 11:59:59 PM,"(29.9289106279161, -90.0163747153416)",3697980.68,522037.21
1372 Annette St Apt A,1372 Annette St Apt A,Accessory STR,2,4,05/01/2019 11:59:59 PM,"(29.9709497008255, -90.0630089789002)",3683040.39109,537157.38674
841 Bourbon St,841 Bourbon St,Commercial STR,1,2,03/06/2019 11:59:59 PM,"(29.9602328240264, -90.0642919422026)",3682677.35964,533255.83021
2701 D'abadie St,2701 D'abadie St,Temporary STR,2,4,05/23/2019 11:59:59 PM,"(29.9816946951294, -90.0748950227853)",3679234.29986,541023.15195
4421 Eden St,4421 Eden St,Accessory STR,1,2,12/16/2019 11:59:59 PM,"(29.9538507864867, -90.1048439870609)",3669861.87,530795.14
629 Olivier St,629 Olivier St,Commercial STR,2,4,10/23/2019 06:53:18 PM,"(29.9489979129697, -90.0499737759537)",3687256.79926,529220.90477
4428 Burgundy St,4428 Burgundy St,Commercial STR,,,06/06/2019 09:10:48 AM,"(29.9621872104472, -90.0314482710147)",3693068.84515,534083.18305
1809 Camp St,1809 Camp St,Accessory STR,1,2,12/16/2019 11:59:59 PM,"(29.9329191929667, -90.0744796354691)",3679560.65871,523288.00966
1429 N Claiborne Ave Apt H,1429 N Claiborne Ave Apt H,Commercial STR,1,2,04/12/2019 11:59:59 PM,"(29.9702908868087, -90.0686172954905)",3681267.41581,536898.17537
8228 Panola St.,8228 Panola St.,Commercial STR,2,4,04/17/2019 09:13:09 PM,"(29.9637117454617, -90.055925372133)",3685312.43509,534550.33089
2924 St Bernard Ave,2924 St Bernard Ave,Commercial STR,4,8,12/16/2019 11:59:59 PM,"(29.9866862216343, -90.0740679473453)",3679476.18,542841.14
3733 Canal ST,3733 Canal ST,Accessory STR,3,6,03/12/2019 11:59:59 PM,"(29.9726924534434, -90.0972949765348)",3672178.43124,537672.39892
703 Carondelet St Unit 302,703 Carondelet St Unit 302,Commercial STR,2,4,04/23/2019 01:00:57 PM,"(29.9475948923908, -90.0726139839359)",3680092.84187,528631.12294
2424 Valence St,2424 Valence St,Temporary STR,2,4,05/31/2019 11:59:59 PM,"(29.9346183406216, -90.1065935242747)",3669382.73518,523795.56332
1804 Gentilly Blvd,1804 Gentilly Blvd,Accessory STR,1,2,02/18/2019 12:39:53 PM,"(29.9852656613753, -90.0762177793287)",3678801.30715,542317.09659
218 S Jefferson Davis Prkwy,218 S Jefferson Davis Prkwy,Accessory STR,2,4,05/17/2019 12:32:03 PM,"(29.9685383105758, -90.0948905303092)",3672956.00603,536170.01204
"1523 Robert C Blakes, SR Dr A","1523 Robert C Blakes, SR Dr A",Commercial STR,2,4,04/09/2019 11:13:39 AM,"(29.9393764379622, -90.0772246521278)",3678665.50082,525626.55667
855 Baronne St Unit 4B,855 Baronne St Unit 4B,Commercial STR,3,6,12/17/2019 11:59:59 PM,"(29.9452230737928, -90.0747087721718)",3679438.94,527761.35
2623 Short St,2623 Short St,Accessory STR,2,4,12/21/2019 11:59:59 PM,"(29.9571034997742, -90.1173559987071)",3665887.26,531935.69
631 Congress St,631 Congress St,Accessory STR,1,2,04/02/2019 11:59:59 PM,"(29.9619632490324, -90.0400303601976)",3690352.40374,533970.97005
1621 St Anthony St,1621 St Anthony St,Accessory STR,,,10/15/2019 08:59:24 PM,"(29.9738243732408, -90.0618932361476)",3683382.04117,538206.64346
840 Bartholomew St,840 Bartholomew St,Commercial STR,3,6,12/17/2019 11:59:59 PM,"(29.9632231619817, -90.0362182768125)",3691554.24643,534442.76365
339 Carondelet Street #Apt 3B,339 Carondelet Street #Apt 3B,Commercial STR,1,2,12/12/2019 11:59:59 PM,"(29.9510767006099, -90.071625909561)",3680391.80288,529900.68022
4920 Prytania St A,4920 Prytania St A,Commercial STR,3,6,07/05/2019 08:37:20 AM,"(29.924477354267, -90.1083945409913)",3668851.73678,520101.8231
429 Exposition Blvd,429 Exposition Blvd,Accessory STR,1,2,12/14/2019 11:59:59 PM,"(29.9211323553661, -90.1278710050532)",3662695.29,518820.03
451 Philip St,451 Philip St,Commercial STR,2,4,12/17/2019 11:59:59 PM,"(29.9238215481391, -90.0731758620764)",3680009.98,519984.32
3213 Maurepas St,3213 Maurepas St,Temporary STR,1,2,05/17/2019 11:27:05 AM,"(29.9812841314167, -90.0850475099831)",3676021.94273,540838.69934
3014 Maurepas St,3014 Maurepas St,Temporary STR,1,2,03/27/2019 11:59:59 PM,"(29.9808435403363, -90.0818466159933)",3677037.0075,540689.53665
1041 Constance St Apt 311,1041 Constance St Apt 311,Commercial STR,2,4,10/16/2019 11:59:59 PM,"(29.9415141862463, -90.0694997241712)",3681103.45115,526430.82137
1909 Port ST,1909 Port ST,Temporary STR,2,4,02/08/2019 11:59:59 PM,"(29.9772835417677, -90.0462908966611)",3688307.53865,539519.67271
1823 Euterpe St,1823 Euterpe St,Accessory STR,2,4,04/05/2019 01:29:20 PM,"(29.9394100951175, -90.0794410194013)",3677963.43163,525631.10758
2612 St Ann St,2612 St Ann St,Temporary STR,2,4,05/22/2019 11:59:59 PM,"(29.9704614579865, -90.0814327010999)",3677209.28981,536915.64455
2470 Royal St,2470 Royal St,Accessory STR,3,6,07/02/2019 11:01:59 AM,"(29.9647748578123, -90.0522368830561)",3686475.98934,534949.95617
526 S Cortez St,526 S Cortez St,Temporary STR,1,2,03/27/2019 11:40:50 AM,"(29.9683789314941, -90.101036709146)",3671010.66708,536091.07559
339 Carondelet St unit 4b,339 Carondelet St unit 4b,Commercial STR,1,2,04/12/2019 05:51:29 PM,"(29.9510614798442, -90.0716001533604)",3680400.01999,529895.2352
334 Carondelet St Apt 205,334 Carondelet St Apt 205,Commercial STR,,,04/03/2019 10:23:56 AM,"(29.9509604465431, -90.0713155419914)",3680490.55195,529859.48832
1225 Marais St Unit A,1225 Marais St Unit A,Temporary STR,2,4,02/21/2019 03:19:46 PM,"(29.9669328337854, -90.066904090209)",3681823.32463,535683.05229
425 Vallette Street,425 Vallette Street,Accessory STR,2,4,04/19/2019 11:59:58 PM,"(29.9515338968857, -90.0491588366618)",3687504.53417,530145.97101
2607 Marais St,2607 Marais St,Commercial STR,2,4,04/01/2019 11:59:59 PM,"(29.9700083856816, -90.049514272001)",3687316.71023,536862.70785
2116 Chartres St,2116 Chartres St,Commercial STR,1,2,07/11/2019 11:59:59 PM,"(29.9634737531462, -90.0572859709271)",3684882.59599,534458.98797
2314 Annunciation St,2314 Annunciation St,Accessory STR,1,2,07/04/2019 02:00:36 PM,"(29.9262593570097, -90.0759778829686)",3679112.69967,520861.04409
726 Moss St,726 Moss St,Accessory STR,2,4,12/17/2019 11:59:59 PM,"(29.9759518948776, -90.0899634118529)",3674486.74344,538882.77076
5454 Hawthorne Pl,5454 Hawthorne Pl,Temporary STR,3,6,10/17/2019 03:40:32 PM,"(29.9887948101773, -90.1111684795818)",3667723.62061,543480.73928
924 Valmont St 301,924 Valmont St 301,Commercial STR,1,2,10/01/2019 10:18:06 AM,"(29.9210348855033, -90.1127867586032)",3667473.82049,518835.1685
4015 Dauphine St,4015 Dauphine St,Commercial STR,3,6,08/27/2019 01:03:31 PM,"(29.9624440066999, -90.0359338772199)",3691647.50345,534160.45415
3223 St Philip St,3223 St Philip St,Temporary STR,2,4,03/18/2019 06:38:09 PM,"(29.97715876325, -90.0866199825034)",3675540.46318,539333.13601
438 Opelousas Ave Unit J,438 Opelousas Ave Unit J,Commercial STR,2,4,04/16/2019 11:59:59 PM,"(29.9488868794412, -90.0510202284485)",3686925.8669,529176.81894
2317 N Rampart St Unit C,2317 N Rampart St Unit C,Commercial STR,3,6,03/05/2019 11:18:24 AM,"(29.9678312435513, -90.0549448440866)",3685606.18422,536051.79495
8130 Sycamore St Apt A,8130 Sycamore St Apt A,Temporary STR,1,2,05/10/2019 08:56:11 AM,"(29.9548887885462, -90.1229862630505)",3664112.94208,531111.45946
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,3,6,06/25/2019 11:59:59 PM,"(29.9469124927192, -90.0683976347858)",3681430.81039,528397.69306
925 Common St Unit 402,925 Common St Unit 402,Commercial STR,2,4,05/16/2019 11:59:59 PM,"(29.9537857826013, -90.0727872253218)",3680013.21397,530881.75482
4629 Pineda ST,4629 Pineda ST,Temporary STR,4,8,02/13/2019 11:59:59 PM,"(30.0132255222366, -90.0377361594521)",3690868.04982,552620.05993
200 N Clark St suite B,200 N Clark St suite B,Commercial STR,2,4,08/22/2019 11:59:59 PM,"(29.971730614297, -90.0940917742281)",3673196.34811,537333.59086
1108 Henriette Delille St,1108 Henriette Delille St,Temporary STR,2,4,03/27/2019 11:59:59 PM,"(29.9645663532591, -90.0662411310968)",3682042.74511,534824.8322
"Floor 14, 1460 Broadway","Floor 14, 1460 Broadway",Temporary STR,3,6,05/13/2019 11:02:57 AM,"(29.9635868187879, -90.0801405846106)",3677645.72347,534420.23725
428 Opelousas Ave,428 Opelousas Ave,Commercial STR,2,4,05/29/2019 11:59:59 PM,"(29.948949255872, -90.05131738974)",3686831.50978,529198.44826
334 Carondelet St Unit 411,334 Carondelet St Unit 411,Commercial STR,1,2,05/21/2019 11:59:59 PM,"(29.9507893316433, -90.0712279971545)",3680518.96,529797.57
1024 Sixth St Apt 203,1024 Sixth St Apt 203,Commercial STR,1,2,12/18/2019 11:59:59 PM,"(29.9249351810682, -90.0837951025212)",3676641.87,520352.44
800 St Charles Ave 203,800 St Charles Ave 203,Commercial STR,2,4,08/06/2019 11:59:59 PM,"(29.9457478552632, -90.0715922706579)",3680423.79291,527963.03411
3044 St Claude Ave UNIT 3042B,3044 St Claude Ave UNIT 3042B,Commercial STR,2,4,09/30/2019 05:55:24 PM,"(29.9675970713806, -90.0449495392599)",3688771.79644,536002.08679
4910 Tchoupitoulas St,4910 Tchoupitoulas St,Accessory STR,2,4,12/18/2019 11:59:59 PM,"(29.9164492239467, -90.1085396426891)",3668836.98,517182.01
1024 Sixth St Apt 202,1024 Sixth St Apt 202,Commercial STR,1,2,12/18/2019 11:59:59 PM,"(29.924953834729, -90.0837786417484)",3676647.01,520359.28
2904 Annunciation St,2904 Annunciation St,Temporary STR,3,6,05/16/2019 10:02:17 AM,"(29.9227374119621, -90.0820747861425)",3677195.50952,519559.19878
1314 Touro St,1314 Touro St,Accessory STR,2,4,12/21/2019 11:59:59 PM,"(29.9707918834535, -90.0597307224204)",3684078.94,537111.52
4932 Lafaye St B,4932 Lafaye St B,Accessory STR,3,6,12/18/2019 11:59:59 PM,"(30.0095378816946, -90.0489968849794)",3687319.4,551238.97
3100 Rue Parc Fontaine,3100 Rue Parc Fontaine,Temporary STR,2,4,12/27/2019 11:59:59 PM,"(29.9220546389611, -90.0095836177538)",3700160.47,519568.93
4508 St Claude Ave B,4508 St Claude Ave B,Temporary STR,2,4,05/17/2019 11:59:59 PM,"(29.9643264598752, -90.0303853698239)",3693396.54739,534864.91636
812 Opelousas Avenue,812 Opelousas Avenue,Accessory STR,2,4,04/30/2019 12:06:21 PM,"(29.9488828219427, -90.0477519532867)",3687960.86198,529186.94074
635 N Scott St 13,635 N Scott St 13,Commercial STR,1,2,03/11/2019 10:03:31 AM,"(29.9779598819414, -90.09493204692)",3672905.83333,539595.91802
2023 Camp St,2023 Camp St,Temporary STR,3,6,05/23/2019 11:59:59 PM,"(29.9315117634771, -90.0759487002815)",3679100.98427,522771.10879
3000 Prytania St 1440 Seventh St,3000 Prytania St 1440 Seventh St,Accessory STR,2,4,04/30/2019 11:37:42 AM,"(29.9282592433885, -90.0873421400146)",3675505.19713,521548.95449
1000 Piety St,1000 Piety St,Accessory STR,1,2,10/08/2019 11:59:59 PM,"(29.9658810866571, -90.0420196723073)",3689706.46748,535388.53434
307 Opelousas Ave,307 Opelousas Ave,Accessory STR,1,2,10/23/2019 01:34:02 PM,"(29.9483498816757, -90.0533459923897)",3686191.53852,528973.31238
1224 St Roch Ave,1224 St Roch Ave,Accessory STR,3,6,12/19/2019 11:59:59 PM,"(29.9704418973552, -90.0525423079707)",3686356.25,537009.62
738 France Street,738 France Street,Accessory STR,2,4,08/16/2019 11:59:59 PM,"(29.9619998744895, -90.0347536555795)",3692023.02825,534003.18484
4515 Thalia St,4515 Thalia St,Commercial STR,2,4,12/19/2019 11:59:59 PM,"(29.9563519196673, -90.1042218499963)",3670049.12,531706.76
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,2,4,06/25/2019 11:59:59 PM,"(29.946861798081, -90.068308178096)",3681459.34315,528379.57139
925 Common St Unit 1200,925 Common St Unit 1200,Commercial STR,2,4,06/25/2019 10:33:29 AM,"(29.9538143719991, -90.0729985743262)",3679946.17397,530891.41479
836 Desire Street,836 Desire Street,Accessory STR,1,2,12/17/2019 11:59:59 PM,"(29.9644213662276, -90.0412931322266)",3689942.49,534860.32
639 Elmira Ave,639 Elmira Ave,Accessory STR,1,2,09/24/2019 02:29:07 PM,"(29.9488308258783, -90.0472260102665)",3688127.62678,529169.90214
3210 Desaix Blvd,3210 Desaix Blvd,Accessory STR,2,4,12/19/2019 11:59:59 PM,"(29.9884342196767, -90.078159232231)",3678174.1,543462.57
1223 St Anthony St,1223 St Anthony St,Temporary STR,3,6,04/10/2019 11:59:59 PM,"(29.9687830359438, -90.0614707005569)",3683536.16245,536374.90906
1130 Music St,1130 Music St,Temporary STR,2,4,05/01/2019 05:47:58 AM,"(29.9697790283609, -90.0514510037186)",3686704.46,536772.44
4513 Thalia St,4513 Thalia St,Commercial STR,2,4,12/19/2019 11:59:59 PM,"(29.9563339317844, -90.1041832592857)",3670061.41,531700.35
8137 Pritchard Pl,8137 Pritchard Pl,Accessory STR,2,4,12/19/2019 11:59:59 PM,"(29.9603624856716, -90.1173004899131)",3665892.26,533120.97
1141 Frenchmen St,1141 Frenchmen St,Accessory STR,3,6,12/19/2019 11:59:59 PM,"(29.9693327692011, -90.0581181609861)",3684595.39,536586.61
6312 Patton Street,6312 Patton Street,Accessory STR,,,12/19/2019 11:59:59 PM,"(29.9219314116651, -90.1267151342787)",3663058.36922,519114.45036
925 Common St Unit 711,925 Common St Unit 711,Commercial STR,1,2,05/16/2019 11:59:59 PM,"(29.9538740675587, -90.0725538675251)",3680086.75567,530914.67149
1632 Audubon St,1632 Audubon St,Accessory STR,2,4,05/06/2019 02:50:14 PM,"(29.9457526117642, -90.1193336278871)",3665304.7746,527801.43091
1632 Audubon St,1632 Audubon St,Accessory STR,2,4,05/06/2019 02:50:14 PM,"(29.9457526117642, -90.1193336278871)",3665304.7746,527801.43091
1632 Audubon St,1632 Audubon St,Accessory STR,2,4,05/06/2019 02:50:14 PM,"(29.9457526117642, -90.1193336278871)",3665304.7746,527801.43091
1632 Audubon St,1632 Audubon St,Accessory STR,2,4,05/06/2019 02:50:14 PM,"(29.9457526117642, -90.1193336278871)",3665304.7746,527801.43091
