Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11812.4591111668,11507.2256511128,11694.5453868794,12059.6351646776,11871.3595493939,11066.0601740887,11393.6056572867,11368.5695800312,11839.0105004877,..
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,33750.1908479352,33220.6937771502,34722.0297518806,35770.9186530024,37432.911206721,37707.8332368482,38301.4504295522,39003.5392241061,34588.0537227279,37640.1263169902
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,2.50616002082825,3.07420992851257,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277,..,2.88000011444092
Andorra,AND,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,29.32,..,..,..,..,..,..,..
Angola,AGO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,70.4634704589844,68.662223815918,51,64,67.9733963012695,69.4111709594727,65.2699966430664,72.2771835327148,73.7089157104492,..
Angola,AGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,3.81506657600403,..,..,7.33344507217407,..,..,..
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3128.32471511418,3168.60526780878,3207.17807366001,3127.89059784461,2945.96811568044,2845.43166970475,2717.47412052785,2612.34702748573,2390.47814465757,2331.49540206004
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.08191084861755,4.43894958496094,3.12291765213013,3.48689579963684,2.7549364566803,2.46687889099121,2.04470133781433,1.92745733261108,2.41520023345947,..
Angola,AGO,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,39.6,..,..,..
Antigua and Barbuda,ATG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Antigua and Barbuda,ATG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13802.7074917283,13554.4013958157,13908.9916265529,14285.3297773091,14919.2060476269,15242.3730650282,16146.5927471262,16786.4474314205,13285.6447420337,13872.5821630647
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,2.43080449104309,2.44847750663757,2.64407563209534,2.83133506774902,3.453125,3.83624577522278
Antigua and Barbuda,ATG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,50.2,..,..,48.71,..,..,..,71.63
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6723709106445,99.7891464233398,100,99.8606872558594,99.9421310424805,100,100,100,100,..
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,94.6899337768555,94.6871871948242,100,97.0914993286133,98.8367691040039,100,99.8718109130859,100,100,..
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13895.6337072986,14071.5086831557,13567.9484159809,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12712.9707379001,11344.4057423154,12390.8086878358
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.34582996368408,5.43661022186279,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.72417020797729,..,..
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,29.7,29.4,29.9,..,30.4,29.7,29.8,31,30.3,..
Armenia,ARM,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,17.67,..,..,47.76,..,..,..,55.35
Armenia,ARM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7906723022461,99.4100036621094,99.6600036621094,100,99.8000030517578,99.8000030517578,99.9000015258789,100,99.9594116210938,..
Armenia,ARM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.3507766723633,99.4371490478516,99.7955474853516,100,99.8000030517578,99.5289764404297,99.9000015258789,100,100,..
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3312.9800082494,3406.53611767826,3511.2250593094,3607.28929855361,3601.46966358115,3860.21805793624,4051.38496692373,4350.46619774208,4021.0462641001,4243.23788012921
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.77248001098633,2.65018010139465,2.24724006652832,2.80591011047363,2.75812005996704,2.70759010314941,2.25587010383606,2.56185007095337,2.70567011833191,..
Armenia,ARM,Income share held by highest 10%,SI.DST.10TH.10,24.5,24.7,25.7,26.7,25.3,28.4,29.2,25.1,21.5,..
Aruba,ABW,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Aruba,ABW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,26221.2595482801,27744.9320971106,27575.9302927003,28399.0501310163,28854.7132993572,30293.3515385045,30536.6671931455,29769.2939070971,23026.3328659732,..
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.54905986785889,6.44295978546143,5.85128021240234,5.88826990127563,5.4913501739502,..,..,..,..,..
Aruba,ABW,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,98.86,..,..,99.52,..,..,..,99.32
Australia,AUS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Australia,AUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,55254.6062126847,55723.9482270935,56305.9790936359,56707.0220772116,57358.7827974217,57695.5712591341,58447.2526505317,58781.0466570626,58029.5155258862,58780.3330605266
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.86787986755371,5.22923994064331,5.1646900177002,5.31583976745605,5.28623008728027,5.13680982589722,5.12344980239868,..,..,..
Australia,AUS,Income share held by highest 10%,SI.DST.10TH.10,..,..,27,..,25.8,..,26.6,..,..,..
Austria,AUT,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,96.73,..,..,98.16,..,..,..,99.95
Austria,AUT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Austria,AUT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44549.881698231,44299.3781845446,44245.1687398338,44195.8175947748,44590.2516278164,45281.723399938,46188.9665119872,46669.7512148406,43346.4318485062,45090.7589046514
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.48040008544922,5.54711008071899,5.44761991500854,5.45658016204834,5.4796199798584,5.37159013748169,5.22452020645142,..,..,..
Austria,AUT,Income share held by highest 10%,SI.DST.10TH.10,23.4,24.3,24.1,23.8,23.8,23,23.9,23.2,..,..
Azerbaijan,AZE,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,29.15,..,..,28.57,..,..,..,..
Azerbaijan,AZE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Azerbaijan,AZE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5194.73838966177,5425.90529208285,5505.98823266036,5500.31038244408,5270.55297483365,5229.5261405359,5262.18380792188,5348.26526707105,5083.3816401988,5340.49042271556
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.06763005256653,2.44213008880615,2.63303995132446,2.95167994499207,2.90340995788574,2.47381997108459,2.45543003082275,2.68108010292053,..,..
Azerbaijan,AZE,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
"Bahamas, The",BHS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,32652.2081405392,31407.9348538706,31689.2477854308,31699.3586317477,31117.8856967517,31745.6450295564,32001.1556693263,32285.5424477113,24359.0035780695,27445.1407812009
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.60999989509583,2.72000002861023,2.5,2.24990105628967,2.33118152618408,2.42276906967163,2.24967384338379,2.28841733932495,2.3713436126709,2.78222227096558
"Bahamas, The",BHS,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,81.94,..,..,82.61,..,..,..,..
Bahrain,BHR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Bahrain,BHR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21187.5418849515,22078.9904795856,22676.6258722851,22634.0856475674,22552.6845694088,22445.4525574091,21818.7423371891,21317.3364577031,19545.5785609474,19446.6843185351
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.64530992507935,2.47689008712769,2.46745991706848,2.6745400428772,2.86999988555908,2.32452011108398,2.36660718917847,2.09491229057312,2.15205335617065,..
Bahrain,BHR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,30.99,..,..,50.05,..,..,..,52.81
Bangladesh,BGD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.6181335449219,88,90.6999969482422,93.4418182373047,94.0100021362305,99.5,96.5,97.8000030517578,97.8000030517578,..
Bangladesh,BGD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,54.6474800109863,48.5877647399902,48.1212005615234,65.2221298217773,66.1436462402344,81.5710296630859,89.0830078125,88.8535995483398,95.2119674682617,..
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1078.28754620684,1129.99354846656,1184.86328330845,1248.45330989613,1322.69481176488,1394.78137870973,1481.1833790234,1581.56750488558,1619.77588572519,1715.35477984631
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.17549991607666,1.96616005897522,..,..,1.53553998470306,..,..,1.32632005214691,..,..
Bangladesh,BGD,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,26.8,..,..,..,..,..
Barbados,BRB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Barbados,BRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16505.1852820712,16232.1870030606,16187.7870323078,16558.8647849868,16950.3242588502,17002.0271046108,16803.2646042707,16678.549520861,14329.1898503043,14512.7793704116
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.26274013519287,5.14899015426636,6.14349985122681,5.38291883468628,4.70732021331787,4.36638021469116,5.42886018753052,3.20398998260498,3.05817008018494,6.4536247253418
Barbados,BRB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,71.98,..,..,81.16,..,..,..,..
Belarus,BLR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Belarus,BLR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6047.87112888287,6110.90466736341,6212.91277243518,5967.05220384914,5811.19794357554,5964.89294392711,6165.90933024502,6264.86096486176,6234.82432796722,6418.23763437028
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.95964002609253,5.0094199180603,4.81830978393555,4.78751993179321,4.94654989242554,4.79499006271362,5.38111019134521,4.97947978973389,4.95244979858398,..
Belarus,BLR,Income share held by highest 10%,SI.DST.10TH.10,21.8,22.1,22.6,21.2,21.3,21.3,21.4,21.3,20.7,..
Belgium,BEL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,98.13,..,..,98.64,..,..,..,99.01
Belgium,BEL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Belgium,BEL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39975.5736402458,39970.3174974794,40421.4207919096,41008.296719472,41318.0196388476,41825.7628316432,42403.533592766,43065.5150654148,40424.6388411871,42787.2951894481
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,6.63052988052368,6.59046983718872,6.4515700340271,6.46173000335693,6.42534017562866,6.38137006759644,..,..,..
Belgium,BEL,Income share held by highest 10%,SI.DST.10TH.10,21.9,21.8,22.4,22.2,22.2,21.9,22.2,22.3,..,..
Belize,BLZ,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,48.21,..,..,..,..,..,..,..
Belize,BLZ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.2064361572266,97.3738327026367,97.52978515625,96.9000015258789,97.8149795532227,97.9685745239258,97.9000015258789,98.4800033569336,98.3316497802734,..
Belize,BLZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,85.8638458251953,86.0654373168945,86.2510681152344,87.5583190917969,89.3888473510742,91.0207214355469,86.5137710571289,87.8397598266602,96.074462890625,..
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4733.54670984569,4667.17920102255,4769.91403256103,4805.19685237279,4699.2724033333,4705.09659441426,4709.85588615736,4712.84010625331,3851.69824066881,4151.21043205702
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,6.42537021636963,6.61468982696533,6.87015008926392,7.29365015029907,7.45028018951416,7.47227001190186,7.1383900642395,7.52877759933472,8.7070140838623
Belize,BLZ,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,16.62,..,..,38.49,..,..,..,48.61
Benin,BEN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,68.5999984741211,61.0548324584961,55.7999992370605,51.6699981689453,62.452823638916,54.2000007629395,64.3030776977539,65.2243881225586,66.1453857421875,..
Benin,BEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14.5507860183716,13.4309768676758,16.2260112762451,11.0660028457642,15.2943601608276,17.1921844482422,16.747350692749,17.475679397583,18.1965103149414,..
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1008.76630305255,1051.55191568071,1087.7199573567,1076.79669785585,1082.4512883575,1112.81709413435,1155.31316796067,1201.56138386125,1214.65958680899,1260.73460863204
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.56202006340027,3.3275101184845,3.161789894104,3.17298007011414,2.89910006523132,3.53558993339539,2.93161988258362,2.96519994735718,3.003662109375,..
Benin,BEN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,37.6,..,..,29.9,..,..,..
Bermuda,BMU,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Bermuda,BMU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,106119.795030798,105492.480708055,101374.469787793,102005.62564189,102407.394383438,107237.031768386,106697.737486296,107036.239271085,99728.6431022707,101617.557267573
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,1.5368800163269,1.50163996219635,..,1.32495999336243,..,..,..,..
Bermuda,BMU,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,33.67,..,..,..,..,..,..,..
Bhutan,BTN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5999984741211,99.4670944213867,99.4875869750977,99.6712875366211,99.8473587036133,99.0999984741211,99.9904632568359,100,100,..
Bhutan,BTN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.8699645996094,80.3489456176758,86.5948257446289,92.9191131591797,99.4221343994141,96.7601547241211,99.9632263183594,100,100,..
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2479.15172302171,2500.8645117328,2612.88626816591,2752.63017233678,2940.69996950715,3040.93700292467,3097.14835098189,3238.06046421134,2879.63861772694,..
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,5.72275018692017,6.04489994049072,7.59009981155396,6.99333000183105,7.2257399559021,6.85084009170532,5.6758918762207,..,..
Bhutan,BTN,Income share held by highest 10%,SI.DST.10TH.10,30.7,..,..,..,..,27.9,..,..,..,..
Bolivia,BOL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,41.8,..,..,54.41,..,..,..,68.89
Bolivia,BOL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2329330444336,99.5200729370117,99.3108444213867,99.4643478393555,99.5,99.4000015258789,99.5,99.4800033569336,100,..
Bolivia,BOL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,72.1698913574219,68.5167388916016,70.2928619384766,74.338493347168,74.8694534301758,74.820442199707,77.5866775512695,84.9234771728516,91.8135147094727,..
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2692.60749690449,2830.67345869784,2939.47746112309,3035.97165495107,3118.91368326578,3203.00443869019,3291.15636101039,3317.37094661772,2986.02443319248,3125.52910384653
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.90000009536743,7.57999992370605,8.26000022888184,8.9399995803833,8.85000038146973,8.65999984741211,8.89999961853027,..,..,..
Bolivia,BOL,Income share held by highest 10%,SI.DST.10TH.10,33.7,35.2,36,34.8,32.4,32,30.6,30.8,32.6,..
Bosnia and Herzegovina,BIH,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,52.69,..,..,58.84,..,..,..,79.34
Bosnia and Herzegovina,BIH,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,..
Bosnia and Herzegovina,BIH,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,..
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4215.61988517547,4390.64885975886,4518.46594398142,4729.69005416208,4940.75988965062,5150.27329952143,5387.26967062662,5578.2664917231,5437.51024290917,5854.66726873303
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,51.96,..,..,51.03,..,..,..,..
Botswana,BWA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,72.6826782226563,74.7909851074219,76.7445907592773,79.5800018310547,80.951301574707,84,85.5979843139648,88.1673736572266,90.7364501953125,..
Botswana,BWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,25.3851795196533,25.996208190918,26.8171291351318,26.4516563415527,28.6350612640381,30.9648723602295,28.7520332336426,27.1253280639648,26.3828983306885,..
